序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
60,基于民族精神 探寻艺术真谛——浅论“钢琴诗人”肖邦的音乐创作,隋欣,艺术研究,2020-12-15,4,0,4,892
61,偏见还是友善——手套地图里的女性标签,陈松,艺术研究,2020-12-15,0,0,0,892
62,模因认知视角下的文创产品设计——以龙泉青瓷文化为例,冯俏俏； 李锋,艺术研究,2020-10-15,0,0,0,892
63,《PEACE&LOVE》系列创意服装设计,杨丽；陈妙燕,艺术研究,2020-10-15,0,0,0,892
64,《架空》系列创意服装设计,杨丽；林若铭,艺术研究,2020-10-15,0,0,0,892
65,《野望》系列创意扎染服装设计,杨丽,艺术研究,2020-10-15,0,0,0,892
66,中国传统织物艺术的对日传播研究,叶磊； 钱露露,艺术研究,2020-10-15,1,0,1,892
67,潮绣的文创产品设计研究,黎玉华； 刘鑫,艺术研究,2020-10-15,3,0,3,892
68,哈尔滨世纪汽车历史博物馆设计,张艺霏,艺术研究,2020-10-15,0,0,0,892
69,福建清代九头马古民居建筑艺术初探,林婧,艺术研究,2020-10-15,1,0,1,892
70,音乐治疗对阿尔兹海默症患者的辅助干预作用,刘静； 杜青青,艺术研究,2020-10-15,2,0,2,892
71,“新冠艺术博物馆”(Covid Art Museum)的美学修辞探析,赖金鑫,艺术研究,2020-10-15,0,0,0,892
72,赛博朋克艺术的视觉美学探讨,季昕如； 郑泓,艺术研究,2020-10-15,3,0,3,892
73,西方美术史中的人文主义精神,张一帆,艺术研究,2020-10-15,1,0,1,892
74,竹石,陈萍； 刘畅,艺术研究,2020-10-15,0,0,0,892
75,民族声乐演唱中咬字的技巧与技法,石尧尧,艺术研究,2020-10-15,1,0,1,892
76,20世纪初西乐学堂乐歌为我国早期“流行歌曲”考论——兼谈歌曲《毛毛雨》的歌曲归属问题,徐中原,艺术研究,2020-10-15,0,0,0,892
77,普罗科菲耶夫钢琴演奏风格和技巧,邢艺,艺术研究,2020-10-15,1,0,1,892
78,音乐“结构”观,唐大林； 聂佳,艺术研究,2020-10-15,3,0,3,892
79,理查·施特劳斯《小夜曲》的艺术表达透视,朱艳,艺术研究,2020-10-15,1,0,1,892
80,浅析中国钢琴艺术的文化内涵,佟婧,艺术研究,2020-10-15,2,0,2,892
81,19世纪西方钢琴音乐特征及演奏分析,张静文,艺术研究,2020-10-15,0,0,0,892
82,艺术歌曲《大江东去》中的钢琴伴奏特点分析,索晓畅,艺术研究,2020-10-15,1,0,1,892
83,德彪西钢琴作品的音乐特征与演奏分析,唐伟,艺术研究,2020-10-15,2,0,2,892
84,琴歌作品中的儒家“乐教”思想因子透视,陈晔,艺术研究,2020-10-15,0,0,0,892
85,民族舞蹈传播的观众接受问题研究,颜煌； 王润清,艺术研究,2020-10-15,0,0,0,892
86,音乐教育与民族音乐文化的传承研究,赵文培,艺术研究,2020-10-15,2,0,2,892
87,中国钢琴协奏曲《黄河》的民族性演奏风格探析,邱冰,艺术研究,2020-10-15,1,0,1,892
88,鲁南民间鼓吹乐班的“开放与坚守”——以“崔家班”生存现状为例,吴蕾,艺术研究,2020-10-15,0,0,0,892
89,产业化视阈下的江苏民歌精品化创作研究,丁艳,艺术研究,2020-10-15,1,0,1,892
90,任务驱动下高校声乐课程“体验+分压”式教学模式的实践,张思艳,艺术研究,2020-10-15,1,0,1,892
91,基于“产学研”一体化驱动下高校管乐应用型人才培养研究,陕海峰； 胡林丽,艺术研究,2020-10-15,0,0,0,892
